SpectrumFile,SampleName,Experiment,Fraction,LabelledCell
20120229_MLP_333188_ps109TiO2.raw,ps109,SILAC010,cytoplasm,MDA-MB-231
20120326_MLP_333188_Tio2ps109.raw,ps109,SILAC010,cytoplasm,MDA-MB-231
20120229_MLP_333188_ps108TiO2.raw,ps108,SILAC010,membrane,MDA-MB-231
20120703_MLP_363211_TiO2ps125.raw,ps125,SILAC011,cytoplasm,MDA-MB-231
20120703_MLP_363211_TiO2ps124.raw,ps124,SILAC011,membrane,MDA-MB-231
20120229_MLP_333188_ps111TiO2.raw,ps111,SILAC011,cytoplasm,MDA-MB-231
20120326_MLP_333188_Tio2ps111.raw,ps111,SILAC011,cytoplasm,MDA-MB-231
20120823_MLP_363227_TiO2ps111.raw,ps111,SILAC011,cytoplasm,MDA-MB-231
20120229_MLP_333188_ps110ATiO2.raw,ps110,SILAC011,membrane,MDA-MB-231
20120703_MLP_363211_TiO2ps127.raw,ps127,SILAC012,cytoplasm,MDA-MB-231
20120703_MLP_363211_TiO2ps126.raw,ps126,SILAC012,membrane,MDA-MB-231
20120326_MLP_333188_Tio2ps113.raw,ps113,SILAC012,cytoplasm,MDA-MB-231
20120326_MLP_333188_Tio2ps112.raw,ps112,SILAC012,membrane,MDA-MB-231
20120703_MLP_363211_TiO2ps129.raw,ps129,SILAC013,cytoplasm,MDA-MB-231
20120703_MLP_363211_TiO2ps128.raw,ps128,SILAC013,membrane,MDA-MB-231
20120326_MLP_333188_Tio2ps115.raw,ps115,SILAC013,cytoplasm,MDA-MB-231
20120326_MLP_333188_Tio2ps114.raw,ps114,SILAC013,membrane,MDA-MB-231
20120516_psMLP119.raw,ps119,SILAC014,cytoplasm,HUVEC
20120601_psMLP118.raw,ps118,SILAC014,membrane,HUVEC
20120410_MLP_333195_TiO2ps117.raw,ps117,SILAC014,cytoplasm,HUVEC
20120410_MLP_333195_TiO2ps116.raw,ps116,SILAC014,membrane,HUVEC
20120802_MLP_363216_Tio2ps131.raw,ps131,SILAC015,cytoplasm,HUVEC
20120802_MLP_363216_Tio2ps130.raw,ps130,SILAC015,membrane,HUVEC
20120326_MLP_363207_Tio2ps121.raw,ps121,SILAC015,cytoplasm,HUVEC
20120326_MLP_363207_Tio2ps120.raw,ps120,SILAC015,membrane,HUVEC
20120823_MLP_363227_TiO2ps133.raw,ps133,SILAC016,cytoplasm,HUVEC
20120823_MLP_363227_TiO2ps132.raw,ps132,SILAC016,membrane,HUVEC
20120326_MLP_363207_Tio2ps123.raw,ps123,SILAC016,cytoplasm,HUVEC
20120326_MLP_363207_Tio2ps122.raw,ps122,SILAC016,membrane,HUVEC
20121010_MLP_363245_TiO2ps136T1.raw,ps136,SILAC017,membrane,MDA-MB-231
20121010_MLP_363245_TiO2ps136T2.raw,ps136,SILAC017,membrane,MDA-MB-231
20121010_MLP_363245_TiO2ps135T1_12101115.raw,ps135,SILAC017,cytoplasm,MDA-MB-231
20121010_MLP_363245_TiO2ps135T2.raw,ps135,SILAC017,cytoplasm,MDA-MB-231
20130115_MLP_363262_ps139A.raw,ps139,SILAC019,membrane,HUVEC
20130115_MLP_363262_ps139B.raw,ps139,SILAC019,membrane,HUVEC
20130115_MLP_363262_ps139C.raw,ps139,SILAC019,membrane,HUVEC
20130115_MLP_363262_ps139D.raw,ps139,SILAC019,membrane,HUVEC
20130115_MLP_363262_ps139E.raw,ps139,SILAC019,membrane,HUVEC
20121026_MLP_psMLP138T.raw,ps138,SILAC019,membrane,HUVEC
20121026_MLP_psMLP137BT.raw,ps137,SILAC019,cytoplasm,HUVEC
20121026_MLP_psMLP137CT.raw,ps137,SILAC019,cytoplasm,HUVEC
